POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5
1;46;Classified;17;45:57.575;-;-;8;2:28.630;132.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
2;7;Classified;17;45:58.259;+0.684;+0.684;7;2:28.678;132.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
3;16;Classified;17;45:58.588;+1.013;+0.329;9;2:28.726;132.4;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
4;55;Classified;17;45:58.880;+1.305;+0.292;10;2:28.679;132.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
5;72;Classified;17;45:59.793;+2.218;+0.913;9;2:28.848;132.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
6;13;Classified;17;46:00.172;+2.597;+0.379;9;2:28.745;132.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
7;78;Classified;17;46:02.598;+5.023;+2.426;9;2:29.293;131.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
8;41;Classified;17;46:03.531;+5.956;+0.933;7;2:29.262;132.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
9;71;Classified;17;46:04.116;+6.541;+0.585;10;2:29.526;131.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
10;21;Classified;17;46:04.348;+6.773;+0.232;7;2:28.989;132.2;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
11;98;Classified;17;46:04.367;+6.792;+0.019;16;2:29.983;131.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
12;88;Classified;17;46:06.979;+9.404;+2.612;16;2:29.418;131.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
13;47;Classified;17;46:09.705;+12.130;+2.726;10;2:29.846;131.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
14;14;Classified;17;46:10.379;+12.804;+0.674;16;2:30.363;131.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
15;3;Classified;17;46:11.933;+14.358;+1.554;10;2:31.035;130.4;Am;Legends ;GR Cup;Toyota GR86;;;;;;;;;;;;;;
16;93;Classified;17;46:12.357;+14.782;+0.424;9;2:31.169;130.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
17;5;Classified;17;46:13.888;+16.313;+1.531;9;2:30.848;130.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
18;3;Classified;17;46:19.358;+21.783;+5.470;9;2:32.070;129.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
19;86;Classified;17;46:22.746;+25.171;+3.388;6;2:33.294;128.5;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
20;80;Classified;17;46:24.644;+27.069;+1.898;15;2:32.369;129.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
21;57;Classified;17;46:28.369;+30.794;+3.725;8;2:33.619;128.2;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
22;8;Classified;17;46:29.807;+32.232;+1.438;16;2:33.790;128.1;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
23;18;Classified;17;46:39.967;+42.392;+10.160;16;2:33.543;128.3;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
24;73;Classified;17;46:40.393;+42.818;+0.426;10;2:32.063;129.5;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
25;113;Classified;17;46:53.651;+56.076;+13.258;10;2:29.926;131.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
26;89;Classified;17;46:55.429;+57.854;+1.778;6;2:29.744;131.5;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
27;51;Classified;14;40:55.584;3 Laps;3 Laps;8;2:33.568;128.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
28;31;Classified;13;46:14.818;4 Laps;1 Lap;13;2:30.244;131.1;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
29;11;Classified;10;26:50.082;7 Laps;3 Laps;10;2:31.702;129.8;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
30;15;Classified;6;20:28.905;11 Laps;4 Laps;3;2:31.899;129.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
31;2;Classified;1;3:52.412;16 Laps;5 Laps;0;;;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
