CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;7;Toyota GR86;17;46:39.087;;;5;2:28.112;133.0
Am;2;2;13;Toyota GR86;17;46:39.645;+0.558;+0.558;16;2:28.115;133.0
Am;3;3;16;Toyota GR86;17;46:44.494;+5.407;+4.849;11;2:28.510;132.6
Am;4;4;21;Toyota GR86;17;46:44.686;+5.599;+0.192;11;2:28.397;132.7
Am;5;5;71;Toyota GR86;17;46:45.378;+6.291;+0.692;16;2:29.061;132.1
Am;6;6;55;Toyota GR86;17;46:45.753;+6.666;+0.375;2;2:28.778;132.4
Am;7;7;72;Toyota GR86;17;46:46.768;+7.681;+1.015;2;2:28.693;132.5
Am;8;8;46;Toyota GR86;17;46:47.323;+8.236;+0.555;6;2:28.317;132.8
Am;9;9;41;Toyota GR86;17;46:48.401;+9.314;+1.078;5;2:28.956;132.2
Am;10;10;47;Toyota GR86;17;46:51.106;+12.019;+2.705;5;2:29.273;132.0
Am;11;11;78;Toyota GR86;17;46:52.270;+13.183;+1.164;6;2:29.284;132.0
Am;12;12;98;Toyota GR86;17;46:52.305;+13.218;+0.035;6;2:29.087;132.1
Am;13;13;88;Toyota GR86;17;46:52.709;+13.622;+0.404;6;2:29.389;131.9
Am;14;14;5;Toyota GR86;17;46:54.157;+15.070;+1.448;6;2:29.848;131.5
Am;15;15;113;Toyota GR86;17;46:54.504;+15.417;+0.347;4;2:30.586;130.8
Am;16;16;15;Toyota GR86;17;46:54.699;+15.612;+0.195;3;2:29.400;131.8
Am;17;17;89;Toyota GR86;17;46:54.955;+15.868;+0.256;6;2:29.614;131.7
Am;18;18;31;Toyota GR86;17;46:56.980;+17.893;+2.025;6;2:29.354;131.9
Am;19;19;3;Toyota GR86;17;46:59.072;+19.985;+2.092;6;2:30.516;130.9
Am;20;20;73;Toyota GR86;17;46:59.801;+20.714;+0.729;16;2:31.237;130.2
Am;21;21;51;Toyota GR86;17;47:01.097;+22.010;+1.296;2;2:30.931;130.5
Am;22;22;11;Toyota GR86;17;47:03.182;+24.095;+2.085;10;2:31.501;130.0
Am;23;23;86;Toyota GR86;17;47:03.909;+24.822;+0.727;11;2:31.889;129.7
Am;24;24;57;Toyota GR86;17;47:04.828;+25.741;+0.919;10;2:32.766;128.9
Am;25;25;8;Toyota GR86;17;47:15.531;+36.444;+10.703;3;2:33.233;128.6
Am;26;26;14;Toyota GR86;16;44:23.376;1 Laps;1 Laps;3;2:29.906;131.4
Am;27;27;93;Toyota GR86;16;44:23.921;1 Laps;+0.545;3;2:30.060;131.3
Am;28;28;3;Toyota GR86;16;44:24.134;1 Laps;+0.213;6;2:30.691;130.7
Am;29;29;2;Toyota GR86;14;39:55.160;3 Laps;2 Laps;2;2:28.609;132.6
Am;30;30;18;Toyota GR86;11;29:44.713;6 Laps;3 Laps;5;2:31.905;129.7
Am;31;31;80;Toyota GR86;10;29:57.681;7 Laps;1 Laps;5;2:31.506;130.0
