TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1745774093;4/27/2025 5:14:53 PM;27.42;39.5;64.02;995.8;5.04;202;0
1745774155;4/27/2025 5:15:55 PM;27.5;39.4;63.83;995.9;14.04;172;0
1745774218;4/27/2025 5:16:58 PM;27.49;39.4;63.81;995.8;7.92;199;0
1745774281;4/27/2025 5:18:01 PM;27.51;39.5;63.48;995.8;12.24;179;0
1745774343;4/27/2025 5:19:03 PM;27.6;39.5;63.15;995.8;14.76;160;0
1745774406;4/27/2025 5:20:06 PM;27.78;39.9;61.95;995.8;19.08;160;0
1745774469;4/27/2025 5:21:09 PM;27.88;40.6;61.84;995.8;15.48;151;0
1745774531;4/27/2025 5:22:11 PM;27.84;40.5;61.73;995.8;18.36;170;0
1745774594;4/27/2025 5:23:14 PM;27.79;40.3;61.22;995.8;18.36;172;0
1745774657;4/27/2025 5:24:17 PM;27.62;40.3;60.42;995.8;15.84;179;0
1745774720;4/27/2025 5:25:20 PM;27.6;40.0;61.21;995.8;17.64;171;0
1745774782;4/27/2025 5:26:22 PM;27.7;40.1;61.42;995.8;15.12;175;0
1745774845;4/27/2025 5:27:25 PM;27.77;40.3;60.27;995.8;18.0;177;0
1745774908;4/27/2025 5:28:28 PM;27.86;40.5;59.88;995.8;16.2;167;0
1745774970;4/27/2025 5:29:30 PM;27.98;41.1;57.46;995.8;23.04;168;0
1745775033;4/27/2025 5:30:33 PM;27.9;41.6;57.8;995.8;10.44;176;0
1745775096;4/27/2025 5:31:36 PM;27.97;42.0;58.78;995.8;8.64;188;0
1745775158;4/27/2025 5:32:38 PM;28.06;42.7;58.85;995.7;15.48;169;0
1745775221;4/27/2025 5:33:41 PM;28.23;42.8;59.41;995.8;7.56;153;0
1745775284;4/27/2025 5:34:44 PM;28.39;43.1;57.85;995.9;10.08;177;0
1745775346;4/27/2025 5:35:46 PM;28.54;43.3;58.36;995.8;9.36;151;0
1745775409;4/27/2025 5:36:49 PM;28.61;43.1;57.71;995.8;7.92;163;0
1745775472;4/27/2025 5:37:52 PM;28.59;42.4;56.39;995.9;14.76;176;0
1745775535;4/27/2025 5:38:55 PM;28.41;42.0;57.43;995.8;11.52;174;0
1745775597;4/27/2025 5:39:57 PM;28.29;41.3;58.17;995.7;9.72;192;0
1745775660;4/27/2025 5:41:00 PM;28.24;41.0;58.64;995.7;13.32;171;0
1745775723;4/27/2025 5:42:03 PM;28.09;40.9;59.05;995.8;13.68;169;0
1745775785;4/27/2025 5:43:05 PM;27.99;40.7;59.75;995.8;5.04;185;0
1745775848;4/27/2025 5:44:08 PM;27.94;40.5;59.47;995.8;14.4;171;0
1745775911;4/27/2025 5:45:11 PM;28.0;40.4;60.18;995.8;5.4;163;0
1745775973;4/27/2025 5:46:13 PM;28.08;40.4;60.41;995.8;14.76;151;0
1745776036;4/27/2025 5:47:16 PM;28.09;40.4;59.34;995.7;18.36;173;0
1745776099;4/27/2025 5:48:19 PM;28.04;40.3;60.29;995.7;12.6;146;0
1745776161;4/27/2025 5:49:21 PM;28.0;40.2;60.42;995.8;9.0;161;0
1745776224;4/27/2025 5:50:24 PM;28.0;40.2;61.03;995.7;12.24;147;0
1745776287;4/27/2025 5:51:27 PM;28.01;39.9;61.19;995.6;15.48;135;0
1745776350;4/27/2025 5:52:30 PM;27.97;39.6;60.93;995.6;18.36;140;0
1745776412;4/27/2025 5:53:32 PM;27.77;39.5;61.74;995.6;8.64;155;0
1745776475;4/27/2025 5:54:35 PM;27.7;39.3;62.11;995.6;12.24;159;0
1745776538;4/27/2025 5:55:38 PM;27.75;39.1;62.2;995.7;9.0;176;0
1745776600;4/27/2025 5:56:40 PM;27.81;39.1;61.88;995.7;8.64;182;0
1745776663;4/27/2025 5:57:43 PM;27.88;39.0;61.03;995.5;12.6;169;0
1745776726;4/27/2025 5:58:46 PM;27.97;39.5;61.05;995.6;12.6;158;0
1745776788;4/27/2025 5:59:48 PM;28.1;40.6;59.06;995.5;9.0;169;0
1745776851;4/27/2025 6:00:51 PM;28.23;40.8;58.18;995.5;13.32;186;0
