NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;14;2:28.609;2;2:28.684;11;2:28.942;6;2:29.489;3;2:29.715;5;2:29.849;10;2:32.173;12;2:32.584;7;3:23.385;9;3:30.403;8;2:41.383
3;Toyota GR86;Am;16;2:30.691;6;2:31.053;15;2:31.556;5;2:31.614;10;2:31.846;2;2:31.941;4;2:31.963;3;2:32.022;16;2:33.712;12;2:34.081;7;2:32.047
3;Toyota GR86;Am;17;2:30.516;6;2:30.918;5;2:31.348;15;2:31.502;10;2:31.680;16;2:31.729;4;2:31.934;2;2:31.997;3;2:33.826;11;2:34.287;7;2:31.973
5;Toyota GR86;Am;17;2:29.848;6;2:29.887;5;2:30.406;4;2:30.572;3;2:30.820;2;2:31.370;16;2:31.501;12;2:31.721;15;2:32.574;7;2:32.622;11;2:31.132
7;Toyota GR86;Am;17;2:28.112;5;2:28.185;3;2:28.204;11;2:28.266;16;2:28.272;4;2:28.288;10;2:28.330;6;2:28.568;15;2:28.809;2;2:28.843;17;2:28.387
8;Toyota GR86;Am;17;2:33.233;3;2:33.436;4;2:33.497;2;2:34.598;10;2:35.060;11;2:35.491;7;2:35.670;5;2:36.013;16;2:36.122;12;2:37.125;17;2:35.024
11;Toyota GR86;Am;17;2:31.501;10;2:31.945;5;2:32.660;4;2:32.743;6;2:33.149;3;2:33.337;16;2:33.680;17;2:33.909;7;2:34.116;15;2:34.130;11;2:33.117
13;Toyota GR86;Am;17;2:28.115;16;2:28.198;6;2:28.320;11;2:28.386;3;2:28.478;2;2:28.638;10;2:28.929;15;2:28.985;17;2:29.181;5;2:29.849;4;2:28.707
14;Toyota GR86;Am;16;2:29.906;3;2:30.771;15;2:30.888;5;2:31.650;10;2:31.862;16;2:31.948;2;2:32.359;4;2:33.028;12;2:34.024;11;2:34.513;7;2:32.094
15;Toyota GR86;Am;17;2:29.400;3;2:29.572;6;2:30.722;5;2:30.827;2;2:30.884;7;2:31.037;17;2:31.241;15;2:32.212;11;2:32.384;12;2:32.463;10;2:31.074
