"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","expire_at","value"
"kafka:gr-raw","2025-04-27T17:57:56.278Z","I_R02_2025-04-27","R2","2025-04-27T17:57:55.062Z","GR86-002-2",0,32768,,"2025-04-27T17:57:55.062Z"
"kafka:gr-raw","2025-04-27T17:57:31.428Z","I_R02_2025-04-27","R2","2025-04-27T17:57:21.457Z","GR86-002-2",0,0,,"2025-04-27T17:57:21.457Z"
"kafka:gr-raw","2025-04-27T17:54:00.120Z","I_R02_2025-04-27","R2","2025-04-27T17:53:59.696Z","GR86-002-2",0,16,,"2025-04-27T17:53:59.696Z"
"kafka:gr-raw","2025-04-27T17:50:24.731Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.632Z","GR86-002-2",0,15,,"2025-04-27T17:50:23.632Z"
"kafka:gr-raw","2025-04-27T17:50:24.648Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.617Z","GR86-002-2",0,14,,"2025-04-27T17:50:23.617Z"
"kafka:gr-raw","2025-04-27T17:50:24.647Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.616Z","GR86-002-2",0,15,,"2025-04-27T17:50:23.616Z"
"kafka:gr-raw","2025-04-27T17:46:50.574Z","I_R02_2025-04-27","R2","2025-04-27T17:46:49.246Z","GR86-002-2",0,14,,"2025-04-27T17:46:49.246Z"
"kafka:gr-raw","2025-04-27T17:44:19.707Z","I_R02_2025-04-27","R2","2025-04-27T17:44:15.576Z","GR86-002-2",0,13,,"2025-04-27T17:44:15.576Z"
"kafka:gr-raw","2025-04-27T17:41:50.521Z","I_R02_2025-04-27","R2","2025-04-27T17:41:46.592Z","GR86-002-2",0,12,,"2025-04-27T17:41:46.592Z"
"kafka:gr-raw","2025-04-27T17:39:19.474Z","I_R02_2025-04-27","R2","2025-04-27T17:39:16.977Z","GR86-002-2",0,11,,"2025-04-27T17:39:16.977Z"
"kafka:gr-raw","2025-04-27T17:35:58.427Z","I_R02_2025-04-27","R2","2025-04-27T17:35:56.496Z","GR86-002-2",0,10,,"2025-04-27T17:35:56.496Z"
"kafka:gr-raw","2025-04-27T17:32:26.269Z","I_R02_2025-04-27","R2","2025-04-27T17:32:23.826Z","GR86-002-2",0,9,,"2025-04-27T17:32:23.826Z"
"kafka:gr-raw","2025-04-27T17:32:26.268Z","I_R02_2025-04-27","R2","2025-04-27T17:32:23.818Z","GR86-002-2",0,8,,"2025-04-27T17:32:23.818Z"
"kafka:gr-raw","2025-04-27T17:32:26.268Z","I_R02_2025-04-27","R2","2025-04-27T17:32:23.817Z","GR86-002-2",0,9,,"2025-04-27T17:32:23.817Z"
"kafka:gr-raw","2025-04-27T17:29:50.719Z","I_R02_2025-04-27","R2","2025-04-27T17:29:50.424Z","GR86-002-2",0,8,,"2025-04-27T17:29:50.424Z"
"kafka:gr-raw","2025-04-27T17:27:21.916Z","I_R02_2025-04-27","R2","2025-04-27T17:27:21.512Z","GR86-002-2",0,7,,"2025-04-27T17:27:21.512Z"
"kafka:gr-raw","2025-04-27T17:24:52.557Z","I_R02_2025-04-27","R2","2025-04-27T17:24:51.817Z","GR86-002-2",0,6,,"2025-04-27T17:24:51.817Z"
"kafka:gr-raw","2025-04-27T17:22:21.551Z","I_R02_2025-04-27","R2","2025-04-27T17:22:21.216Z","GR86-002-2",0,5,,"2025-04-27T17:22:21.216Z"
"kafka:gr-raw","2025-04-27T17:19:52.279Z","I_R02_2025-04-27","R2","2025-04-27T17:19:51.727Z","GR86-002-2",0,4,,"2025-04-27T17:19:51.727Z"
"kafka:gr-raw","2025-04-27T17:17:28.699Z","I_R02_2025-04-27","R2","2025-04-27T17:17:23.101Z","GR86-002-2",0,3,,"2025-04-27T17:17:23.101Z"
"kafka:gr-raw","2025-04-27T17:14:52.125Z","I_R02_2025-04-27","R2","2025-04-27T17:14:51.497Z","GR86-002-2",0,2,,"2025-04-27T17:14:51.497Z"
"kafka:gr-raw","2025-04-27T17:11:18.941Z","I_R02_2025-04-27","R2","2025-04-27T17:11:14.857Z","GR86-002-2",0,1,,"2025-04-27T17:11:14.857Z"
