"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","value","expire_at"
"kafka:gr-raw","2025-04-27T17:57:56.277Z","I_R02_2025-04-27","R2","2025-04-27T17:57:55.061Z","GR86-002-2",0,0,33608,
"kafka:gr-raw","2025-04-27T17:57:31.428Z","I_R02_2025-04-27","R2","2025-04-27T17:57:21.456Z","GR86-002-2",0,16,181313,
"kafka:gr-raw","2025-04-27T17:54:00.120Z","I_R02_2025-04-27","R2","2025-04-27T17:53:59.695Z","GR86-002-2",0,15,216035,
"kafka:gr-raw","2025-04-27T17:50:24.648Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.631Z","GR86-002-2",0,14,44,
"kafka:gr-raw","2025-04-27T17:50:24.647Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.615Z","GR86-002-2",0,14,214361,
"kafka:gr-raw","2025-04-27T17:50:24.647Z","I_R02_2025-04-27","R2","2025-04-27T17:50:23.617Z","GR86-002-2",0,15,0,
"kafka:gr-raw","2025-04-27T17:46:50.574Z","I_R02_2025-04-27","R2","2025-04-27T17:46:49.245Z","GR86-002-2",0,13,153707,
"kafka:gr-raw","2025-04-27T17:44:19.708Z","I_R02_2025-04-27","R2","2025-04-27T17:44:15.575Z","GR86-002-2",0,12,148914,
"kafka:gr-raw","2025-04-27T17:41:50.521Z","I_R02_2025-04-27","R2","2025-04-27T17:41:46.591Z","GR86-002-2",0,11,149658,
"kafka:gr-raw","2025-04-27T17:39:19.473Z","I_R02_2025-04-27","R2","2025-04-27T17:39:16.976Z","GR86-002-2",0,10,200506,
"kafka:gr-raw","2025-04-27T17:35:58.427Z","I_R02_2025-04-27","R2","2025-04-27T17:35:56.496Z","GR86-002-2",0,9,212591,
"kafka:gr-raw","2025-04-27T17:32:26.269Z","I_R02_2025-04-27","R2","2025-04-27T17:32:23.825Z","GR86-002-2",0,8,44,
"kafka:gr-raw","2025-04-27T17:32:26.268Z","I_R02_2025-04-27","R2","2025-04-27T17:32:23.817Z","GR86-002-2",0,9,0,
